71.24,71.24,38.25,77.33,63.14
69.86,69.86,37.93,74.91,63.54
69.83,69.83,38.18,74.52,64.18
69.57,69.57,37.88,76.66,63.94
68.74,68.74,38.69,75.41,62.80
68.32,68.32,38.03,74.44,62.63
69.18,69.18,39.08,75.33,64.94
69.21,69.21,39.87,76.44,65.76
69.99,69.99,40.09,74.33,65.82
70.06,70.06,40.65,74.33,63.99
70.04,70.04,39.78,76.54,64.65
70.57,70.57,41.67,74.62,65.40
69.88,69.88,42.56,74.21,66.22
68.40,68.40,41.20,76.16,67.76
68.29,68.29,42.86,74.58,66.93
67.74,67.74,41.32,74.15,67.64
67.64,67.64,41.70,75.76,65.83
68.60,68.60,40.24,75.55,63.25
69.95,69.95,41.80,74.36,66.63
70.69,70.69,40.94,74.90,68.00
68.87,68.87,42.02,77.00,67.65
68.26,68.26,42.17,74.93,68.09
66.77,66.77,41.76,75.06,68.60
67.80,67.80,42.57,77.12,65.80
67.92,67.92,42.16,74.91,64.81
69.87,69.87,42.65,74.23,66.22
68.70,68.70,42.38,76.55,67.38
68.89,68.89,42.24,75.47,66.83
69.11,69.11,42.13,74.01,65.80
69.45,69.45,42.15,75.30,67.93
68.43,68.43,42.66,76.26,69.04
68.39,68.39,43.39,73.92,68.16
69.56,69.56,42.33,74.49,68.77
71.85,71.85,41.55,76.38,68.57
70.88,70.88,43.16,74.63,67.90
68.84,68.84,42.74,75.07,68.82
68.41,68.41,42.49,76.87,68.92
67.28,67.28,44.31,74.53,69.46
67.47,67.47,44.33,74.34,68.25
67.13,67.13,43.40,76.00,67.84
66.26,66.26,43.71,76.29,67.42
66.17,66.17,43.29,74.79,69.51
67.48,67.48,43.05,75.29,68.48
67.70,67.70,42.57,76.59,67.24
68.13,68.13,42.65,73.89,68.41
67.32,67.32,43.91,74.45,68.43
67.90,67.90,43.62,77.03,68.28
69.84,69.84,42.92,75.16,66.77
67.78,67.78,42.72,74.98,64.77
66.56,66.56,42.47,76.43,64.94
66.21,66.21,42.56,75.93,65.43
67.99,67.99,41.90,74.86,65.28
