59.96,59.96,29.87,18.19,43.39
62.48,62.48,35.84,18.36,44.37
63.03,63.03,44.17,16.23,45.54
63.48,63.48,56.28,22.66,46.77
65.26,65.26,62.15,26.84,44.52
62.20,62.20,65.10,31.51,44.08
57.11,57.11,58.60,34.25,40.03
44.57,44.57,42.23,20.69,31.04
32.50,32.50,31.14,13.30,27.88
31.60,31.60,26.99,17.14,27.87
34.52,34.52,24.16,15.98,29.75
33.90,33.90,21.45,15.44,29.64
34.36,34.36,19.62,13.50,29.65
34.18,34.18,15.38,13.11,30.32
40.22,40.22,19.31,14.18,35.80
53.90,53.90,22.82,15.71,42.63
57.52,57.52,25.67,13.89,43.89
61.46,61.46,27.18,16.19,45.16
63.34,63.34,32.37,17.35,47.55
65.25,65.25,42.03,21.69,47.63
68.11,68.11,51.86,23.05,47.61
68.15,68.15,57.57,25.03,44.57
64.16,64.16,59.41,29.13,45.66
59.69,59.69,54.74,34.08,43.02
48.32,48.32,43.81,25.16,34.83
41.79,41.79,35.42,24.52,38.60
36.66,36.66,33.27,25.40,36.65
34.17,34.17,20.48,12.70,28.03
36.46,36.46,33.27,24.34,32.72
35.27,35.27,30.72,25.73,33.62
36.10,36.10,29.20,22.95,32.58
35.88,35.88,22.19,17.77,32.96
44.97,44.97,24.78,20.27,44.84
53.77,53.77,24.71,19.12,49.37
59.87,59.87,28.52,18.53,50.67
64.15,64.15,28.43,16.65,51.52
63.03,63.03,30.71,20.76,51.33
62.54,62.54,33.75,17.51,49.84
63.30,63.30,41.29,20.11,48.20
63.35,63.35,49.43,23.80,47.83
63.81,63.81,55.99,27.45,45.24
61.93,61.93,55.55,35.35,44.18
45.36,45.36,42.17,26.52,37.13
35.91,35.91,30.78,19.19,31.40
34.27,34.27,20.80,13.89,28.02
33.65,33.65,16.76,13.65,25.65
31.32,31.32,14.32,8.89,25.20
33.07,33.07,12.17,6.77,28.03
29.70,29.70,10.76,9.99,27.36
31.33,31.33,14.18,10.10,28.98
36.45,36.45,19.50,14.49,32.69
44.48,44.48,19.05,17.58,44.73
50.39,50.39,18.74,16.32,47.47
56.96,56.96,23.91,16.32,50.35
61.87,61.87,28.83,16.73,51.78
63.08,63.08,34.43,16.84,51.40
63.81,63.81,43.07,15.47,48.18
63.32,63.32,49.87,21.76,47.89
61.13,61.13,53.38,29.50,47.52
53.58,53.58,46.78,36.00,45.72
39.06,39.06,34.27,21.74,34.44
32.73,32.73,33.23,25.28,34.56
32.84,32.84,18.16,11.33,26.48
30.93,30.93,19.89,13.86,27.14
30.43,30.43,24.57,19.13,27.87
29.85,29.85,16.96,15.94,25.76
30.07,30.07,12.00,9.56,27.79
35.36,35.36,22.63,14.31,31.79
49.52,49.52,25.27,17.63,45.09
53.91,53.91,26.78,17.79,49.04
58.94,58.94,24.80,15.60,51.23
62.42,62.42,28.10,15.61,55.87
62.04,62.04,32.03,19.23,54.28
62.24,62.24,34.90,23.18,52.81
63.28,63.28,40.12,24.38,51.97
58.63,58.63,45.26,31.86,52.33
50.17,50.17,36.62,32.21,44.29
36.84,36.84,26.78,22.24,37.46
32.59,32.59,26.34,23.80,36.10
